inventor_id,partner_list,partner_count,deg_centrality,close_centrality,bet_centrality,page_rank,GMI1yr_prevexpabroad
4021457-3,[],0,0.0,0.0,0.0,0.0024813895781639977,1
3948823-1,[],0,0.0,0.0,0.0,0.0024813895781639977,0
4476062-2,[],0,0.0,0.0,0.0,0.0024813895781639977,0
4711743-1,[],0,0.0,0.0,0.0,0.0024813895781639977,0
4847428-1,[],0,0.0,0.0,0.0,0.0024813895781639977,0
4801752-1,"['4801752-5', '4801752-3', '4801752-2', '5059724-6', '4801752-4', '5059724-3']",6,0.06976744186046512,0.06976744186046512,0.00013679890560875513,0.013520043192663252,0
4801752-2,"['4801752-5', '4801752-3', '4801752-1', '5059724-6', '4801752-4', '5059724-3']",6,0.06976744186046512,0.06976744186046512,0.00013679890560875513,0.013520043192663252,0
4801752-3,"['4801752-5', '4801752-2', '4801752-4', '4801752-1']",4,0.046511627906976744,0.05232558139534883,0.0,0.009692080816252481,0
4801752-4,"['4801752-5', '4801752-3', '4801752-1', '4801752-2', '5059724-6', '5059724-3']",6,0.06976744186046512,0.06976744186046512,0.00013679890560875513,0.013520043192663252,0
4801752-5,"['4801752-3', '4801752-1', '4801752-2', '5059724-6', '4801752-4', '5059724-3']",6,0.06976744186046512,0.06976744186046512,0.00013679890560875513,0.013520043192663252,0
4849386-3,"['4849386-2', '4194964-2']",2,0.023255813953488372,0.026162790697674417,0.0,0.010250148248546238,0
4849386-2,"['4849386-3', '4950835-3', '4194964-2']",3,0.03488372093023256,0.03488372093023256,0.00013679890560875513,0.014563747533091432,0
4194964-2,"['4849386-3', '4849386-2', '4950835-3']",3,0.03488372093023256,0.03488372093023256,0.00013679890560875513,0.014563747533091432,0
4876398-1,"['4876398-3', '4876398-4', '4876398-2']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
4876398-2,"['4876398-3', '4876398-4', '4876398-1']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
4876398-3,"['4876398-4', '4876398-2', '4876398-1']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
4876398-4,"['4876398-3', '4876398-2', '4876398-1']",3,0.03488372093023256,0.03488372093023256,0.0,0.012406947890818833,0
4950835-3,"['4849386-2', '4194964-2']",2,0.023255813953488372,0.026162790697674417,0.0,0.010250148248546238,0
5094782-1,['5094782-2'],1,0.011627906976744186,0.011627906976744186,0.0,0.012406947890818837,0
5094782-2,['5094782-1'],1,0.011627906976744186,0.011627906976744186,0.0,0.012406947890818837,0
