,patent_id,inventor_id,GMI1yr_prevexpabroad,inventor_iso2,cpc_id,location_id,assigneeid,time
825268,10296833,8543552-3,0,IN,G06N,6k3pgvchllz8,189347.0,2015/9/4
825267,10296833,7194744-1,0,IN,G06N,1bqus0uyw8x5,189347.0,2015/9/4
825269,10296833,9342692-2,0,IN,G06N,gby60ol0g4jd,189347.0,2015/9/4
985851,10354201,10073892-2,0,IN,G06N,gby60ol0g4jd,19559.0,2016/1/7
985852,10354201,10268749-1,0,IN,G06N,gby60ol0g4jd,19559.0,2016/1/7
985856,10354201,10268749-9,0,IN,G06N,gby60ol0g4jd,19559.0,2016/1/7
985854,10354201,10268749-6,0,IN,G06N,6ukvjqn7pz4a,19559.0,2016/1/7
985853,10354201,10268749-2,0,IN,G06N,gby60ol0g4jd,19559.0,2016/1/7
985859,10354201,8548509-3,0,IN,G06N,gby60ol0g4jd,19559.0,2016/1/7
985857,10354201,5412774-3,0,IN,G06N,gby60ol0g4jd,19559.0,2016/1/7
985858,10354201,7895149-1,0,IN,G06N,gby60ol0g4jd,19559.0,2016/1/7
14029660,9652715,9311295-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
14029661,9652715,9418566-3,0,IN,G06N,gby60ol0g4jd,189347.0,2016/10/20
14029659,9652715,7822756-2,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
14029662,9652715,9513764-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
14029663,9652715,9513764-3,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
14011979,9646251,9513764-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
14011976,9646251,7822756-2,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
14011978,9646251,9418566-3,0,IN,G06N,gby60ol0g4jd,189347.0,2016/10/20
14011980,9646251,9513764-3,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
14011977,9646251,9311295-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/10/20
1421662,10509997,10509997-1,0,IN,G06N,ot4ycu5vfbtr,57731.0,2016/10/24
14084139,9672465,7531169-1,0,IN,G06N,gby60ol0g4jd,189347.0,2016/10/6
14102890,9679246,9530093-1,0,IN,G06N,u3nw8bgtxuas,189347.0,2016/10/6
14102889,9679246,7531169-1,0,IN,G06N,gby60ol0g4jd,189347.0,2016/10/6
14084140,9672465,9530093-1,0,IN,G06N,u3nw8bgtxuas,189347.0,2016/10/6
1080557,10387802,7346868-3,0,IN,G06N,gby60ol0g4jd,381571.0,2016/10/7
1384743,10496925,10496925-2,0,IN,G06N,sfrhwbt1xne0,227045.0,2016/11/10
1384744,10496925,10496925-3,0,IN,G06N,sfrhwbt1xne0,227045.0,2016/11/10
1384745,10496925,10496925-4,0,IN,G06N,sfrhwbt1xne0,227045.0,2016/11/10
1384746,10496925,5958038-1,0,IN,G06N,sfrhwbt1xne0,227045.0,2016/11/10
1384742,10496925,10031747-5,0,IN,G06N,sfrhwbt1xne0,227045.0,2016/11/10
1323581,10474955,10474955-4,0,IN,G06N,gby60ol0g4jd,404714.0,2016/12/8
1323580,10474955,10474955-3,0,IN,G06N,gby60ol0g4jd,404714.0,2016/12/8
1323583,10474955,9483340-2,0,IN,G06N,gby60ol0g4jd,404714.0,2016/12/8
1323582,10474955,7562308-3,0,IN,G06N,gby60ol0g4jd,404714.0,2016/12/8
1364373,10489712,10489712-7,0,IN,G06N,gby60ol0g4jd,313906.0,2016/2/26
13693473,9530093,9530093-1,0,IN,G06N,u3nw8bgtxuas,189347.0,2016/2/29
13693472,9530093,7531169-1,0,IN,G06N,gby60ol0g4jd,189347.0,2016/2/29
923835,10332031,9490976-2,0,IN,G06N,u3nw8bgtxuas,355180.0,2016/3/1
923834,10332031,10332031-3,0,IN,G06N,2h07h9yewbxv,355180.0,2016/3/1
923833,10332031,10332031-2,0,IN,G06N,yplhu0vg1o6u,355180.0,2016/3/1
1436958,10515315,8965894-2,0,IN,G06N,6k3pgvchllz8,355180.0,2016/3/11
1384783,10496935,10203938-3,0,IN,G06N,9jwl66hv80v1,376421.0,2016/3/17
1384782,10496935,10203938-2,0,IN,G06N,9jwl66hv80v1,376421.0,2016/3/17
1384781,10496935,10203938-1,0,IN,G06N,9jwl66hv80v1,376421.0,2016/3/17
1384785,10496935,10496935-5,0,IN,G06N,dp903o1s35c1,376421.0,2016/3/17
1384784,10496935,10203938-4,0,IN,G06N,9jwl66hv80v1,376421.0,2016/3/17
14632148,9870535,9870535-4,0,IN,G06N,24n934aekjoa,179514.0,2016/3/18
14632145,9870535,5247679-1,0,IN,G06N,24n934aekjoa,179514.0,2016/3/18
14632149,9870535,9870535-5,0,IN,G06N,24n934aekjoa,179514.0,2016/3/18
14632147,9870535,9870535-3,0,IN,G06N,24n934aekjoa,179514.0,2016/3/18
14632150,9870535,9870535-6,0,IN,G06N,24n934aekjoa,179514.0,2016/3/18
13710253,9536214,7346868-3,0,IN,G06N,gby60ol0g4jd,189347.0,2016/3/21
13648782,9513764,9513764-3,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/4/11
13648781,9513764,9513764-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/4/11
13648780,9513764,9418566-3,0,IN,G06N,gby60ol0g4jd,189347.0,2016/4/11
13648779,9513764,9311295-1,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/4/11
13648778,9513764,7822756-2,0,IN,G06N,ro1y18ekr3rb,189347.0,2016/4/11
636838,10229369,10124819-1,0,IN,G06N,dp903o1s35c1,353793.0,2016/4/19
14569755,9847974,9214137-5,0,IN,G06N,u3nw8bgtxuas,49742.0,2016/4/28
1163976,10417581,9684876-4,0,IN,G06N,gby60ol0g4jd,189347.0,2016/5/20
1163975,10417581,9330084-3,0,IN,G06N,2w5mf75onn8h,189347.0,2016/5/20
1163974,10417581,8219440-8,0,IN,G06N,gby60ol0g4jd,189347.0,2016/5/20
1163973,10417581,7791466-1,0,IN,G06N,gby60ol0g4jd,189347.0,2016/5/20
284495,10102477,9043230-1,0,IN,G06N,gby60ol0g4jd,189347.0,2016/5/26
284496,10102477,9218565-1,0,IN,G06N,gby60ol0g4jd,189347.0,2016/5/26
284494,10102477,8286074-1,0,IN,G06N,gby60ol0g4jd,189347.0,2016/5/26
14204021,9715907,9715907-2,0,IN,G06N,u3nw8bgtxuas,225875.0,2016/5/9
1080514,10387790,8620800-4,0,IN,G06N,gby60ol0g4jd,189347.0,2016/6/20
766357,10275713,9330084-3,0,IN,G06N,2w5mf75onn8h,189347.0,2016/6/21
766355,10275712,9330084-3,0,IN,G06N,2w5mf75onn8h,189347.0,2016/6/21
654361,10235631,10235631-3,0,IN,G06N,ro1y18ekr3rb,399699.0,2016/7/1
654360,10235631,10235631-2,0,IN,G06N,ro1y18ekr3rb,399699.0,2016/7/1
654359,10235631,10235631-1,0,IN,G06N,61vyeber7ne5,399699.0,2016/7/1
14824883,9940323,9501565-4,0,IN,G06N,24n934aekjoa,189347.0,2016/7/12
89354,10032116,9948660-2,0,IN,G06N,1k6m321265kj,248438.0,2016/7/5
14487233,9818063,9818063-1,0,IN,G06N,ro1y18ekr3rb,190025.0,2016/8/10
421178,10152349,10152349-1,0,IN,G06N,kecl8cldjt3c,404714.0,2016/9/27
1436966,10515318,9628292-1,0,IN,G06N,gby60ol0g4jd,366162.0,2016/9/30
