DirectorID,DirectorName,openn_m5u,consc_m5u,extra_m5u,agree_m5u,neuro_m5u
34170,"Richard Davis",4.4143209,6.7093244,4.3584423,1.9660468,3.7465394
34213,"Jim Rogers Jr",4.2017345,5.3204966,4.2842889,3.7805808,3.3771966
34329,"Jim Mulva",5.0840759,6.389204,4.533967,4.8031006,2.8177729
34345,"Meg Whitman",5.2494926,5.1384974,4.9214816,4.0224366,3.2841046
34358,"Sir George Buckley",4.0900173,3.6741073,2.9360847,1,5.3135281
34403,"Jonathan Ayers",4.9895005,5.2335062,5.8438835,5.8481565,3.0884061
34442,"Robert Tillman",4.7484856,5.3011231,4.7565169,4.6205716,3.2782066
34486,"Doctor Irwin Jacobs",5.229383,4.9081225,5.3423276,4.4431148,2.7304876
34505,"Ian Cook",5.0648146,5.5363221,5.4159336,4.5898218,2.945226
34514,"Doctor Paul Jacobs",5.0323133,4.7580662,5.5917764,4.607635,3.0294938
34576,"The Hon. Carlos Gutierrez",4.6931753,5.508039,5.252574,4.0708427,3.2345977
34602,"Harry Stonecipher",4.3369474,4.957787,4.8401489,3.54108,3.5210822
34627,"Alan Mulally",5.0796914,5.6954579,6.0710135,4.404861,2.0124345
34767,"David Goode",4.3827233,5.0939403,4.5688124,3.7044137,3.8193948
34770,"Wayne Sanders",4.7053704,5.0213356,4.921061,4.6866574,3.2752624
34808,"Bob Ulrich",5.5140557,5.5725179,4.8290949,4.2939143,3.0073464
34850,"Bob Stevens",5.3053536,5.9422693,3.9681382,3.7355936,3.1769476
34867,"Gregg Steinhafel",5.1650176,5.8627567,5.1288781,4.6314206,2.6385632
34881,"Steve Sanger",4.9428115,5.7945566,4.9031696,4.4584947,3.4776325
34919,"Stephen Hemsley",4.0446525,5.4605851,4.9587841,3.5395069,3.8627205
34921,"Doctor Bill McGuire",5.3884053,5.714519,5.4583282,4.7439137,3.0081975
34944,"Tom Wilson II",4.5807042,4.7813187,5.3129978,3.3292208,2.5403042
35002,"Mark Mays",4.8412175,5.0895734,4.9730253,4.1296434,3.274725
35032,"Chad Gifford",4.6792016,5.7637553,4.7398767,3.994411,3.3482172
35043,"Brian Moynihan",4.582593,5.3762445,5.0273452,3.6948109,3.1855857
35061,"John Rowe",5.1373606,6.355267,5.0007057,5.3571849,3.8327618
35062,"Tom Ryan",4.8629241,5.2096748,5.0236244,4.1187978,3.261384
35090,"Gene Hall",5.3276453,5.4832463,5.1797705,4.4220581,3.13521
35096,"Rich Daly",5.043716,5.2666655,4.9885745,4.603405,2.6422908
35098,"Gary Butler",4.9151745,5.3478551,5.1254673,4.4197865,3.3786588
35130,"Jack Bovender Jr",4.796577,4.8332543,4.839262,3.7699342,3.5064676
35155,"Richard Bracken",5.4152985,5.9257894,5.0182886,4.5927119,2.8785844
35174,"Jay Grinney",5.2595086,5.1892118,4.9719992,4.0221891,3.7862797
35234,"Gracia Martore",4.9809351,5.2976055,5.0064931,4.1603932,3.0598631
35235,"Howard Schultz",6.2514534,5.7542968,4.3224845,7,1.730204
35238,"Craig Dubow",5.0722046,5.2551551,5.3478827,4.2266197,2.9674466
35264,"Arnold Donald",4.6383743,5.5770502,4.235785,4.1329274,3.0073271
35359,"Jim Tobin",3.9806674,4.6185265,4.7784162,3.8793557,3.3744752
35431,"Jerry Fishman",4.8672028,4.4962473,5.0317588,4.6929307,3.1506932
35469,"Vincent Roche",4.5946407,4.7885432,5.1197681,4.4858489,3.2274003
35508,"Jim Cornelius",4.880403,5.4548421,4.7682204,4.203711,2.4627457
35514,"Tom Motamed",4.8069735,5.301373,4.9244881,4.1084623,3.9130433
35515,"Kevin Burke",3.5314586,4.2545695,4.97437,2.077399,3.5614924
35598,"John Brown",5.3047924,5.4471636,5.043571,4.1861944,2.7608142
35677,"Doctor Ed Zander",4.8624129,5.1113529,5.5333757,4.0338712,3.0908914
35694,"Dave Steiner",4.209867,5.0984669,4.6652007,3.4505763,3.5124345
35698,"Kevin Mansell",5.0724082,5.8378057,5.0185008,4.7292914,2.5849566
35723,"Mark Canepa",4.7509818,5.1716499,5.6180992,4.8157096,3.0280502
35746,"Jerry Johnston",4.962996,5.4233484,5.0067372,4.54492,3.0408113
35795,"Gerald Hassell",4.7988739,5.3464842,5.0868053,4.0732498,3.4412596
35802,"Tom Renyi",4.8822145,5.34443,5.3017273,4.0025463,3.1425252
35823,"Alan Boeckmann",4.3467555,6.0539308,3.6741054,5.1365738,3.615803
35837,"Larry Glasscock",5.0666013,5.227253,4.7059603,4.2664661,2.9384284
35928,"Dave Dillon",4.9550133,5.5568461,5.2758417,4.2569923,3.0928116
35960,"Bruce Karatz",4.722816,5.2186403,4.7397618,3.6726172,3.7923191
35972,"James Cantalupo",4.6449986,5.490129,4.9603138,3.7226076,3.4276817
35981,"Jim Skinner",3.6494296,6.7027278,1.3328122,1,5.468411
36011,"Pat Ryan",4.9636497,5.1717529,5.4345312,4.4285917,3.3409491
36035,"Fred Fowler",4.213335,4.8454213,4.3105822,3.7738941,4.0847039
36098,"Ursula Burns",5.1063724,5.3070035,5.350719,5.1214542,2.9802568
36099,"Mike Fraizer",4.5356088,5.429224,5.2496805,3.8436556,3.2343225
36108,"Doctor Tom Usher",4.4371538,4.9889784,4.8069115,3.7981439,3.378474
36109,"Dave Whitwam",4.3548002,4.99682,5.2451043,4.052156,3.4208207
36111,"Professor Doctor Robert Mehrabian",3.7193151,4.7348533,4.7200193,3.5201082,3.7244534
36143,"Jon Boscia",4.9210439,5.2287917,5.4641256,4.1692381,3.0925274
36147,"Dave West",4.9293928,5.4853296,5.2206154,4.3621459,2.9687116
36162,"Doctor Ray Irani",3.9399385,4.9097257,3.5273538,3.1617825,4.3499722
36172,"Phil Knight",4.3863149,5.1631556,5.0763197,4.0325522,3.3880787
36173,"Steve Chazen",4.575706,5.6656156,4.4491992,3.1107225,3.7746077
36206,"Mark Parker",6.0244637,5.4028697,5.9253583,4.770216,2.2878337
36247,"John Dillon",4.2622519,4.5155163,4.1366286,3.8774383,2.8693368
36253,"Wayne Murdy",3.7572536,4.6179519,3.9413252,2.617188,4.1709013
36263,"John Bryant",4.7803016,5.5459394,5.1194148,4.4731865,3.1333935
36295,"Henry Silverman",4.6971111,5.0696783,4.5736041,3.5284858,3.5170875
36354,"Bruce Rohde",5.1151013,5.319808,5.1154089,3.9135954,3.7334545
36446,"Terry McGraw III",4.9016738,5.2267361,5.3106251,4.0014372,2.6873894
36528,"Mickey Drexler",5.0016761,5.7770233,4.8642564,4.3846865,2.7605808
36540,"Steven Jobs",6.1347671,4.8298483,5.4881692,4.6359921,3.7743697
36552,"Dave Lesar",4.2528343,5.0928392,4.3423724,3.8736796,3.907515
36555,"Dan Amos",5.9703407,5.5770125,2.1769507,5.7214031,6.1638761
36610,"David Ratcliffe",4.9359193,6.1620736,6.3536463,3.9227152,1.8824406
36615,"Gale Klappa",4.4550233,5.3354297,4.4546299,3.6370413,3.5941641
36669,"Tony Earley Jr",3.9864049,5.4586477,4.0729127,3.0816989,4.1180496
36704,"Don Davis Jr",4.2228212,4.6977372,4.7409449,4.3564816,3.7398267
36778,"David Speer",3.1063054,4.9200616,4.1208367,2.7589085,5.9154053
36833,"Tim Wadhams",4.456769,4.9740009,5.1257262,3.9981322,3.4582007
36856,"Dave Cote",3.9383118,5.2237439,5.6018233,4.3145957,3.0497458
36863,"Rob Gillette",4.522047,4.8876328,5.6097646,4.3620739,3.4082546
36904,"Bryan Stockton",4.8938684,5.0577641,4.7989178,4.7385902,2.8626981
36906,"George Sherman",5.6900663,5.8689957,5.1692476,4.4789438,2.4101453
36911,"John Hammergren",5.0737801,6.7637825,4.4076724,5.2477422,4.2775683
36928,"Thos Capps",4.0493326,5.1456208,1,3.8762078,4.159606
36934,"Tom Farrell II",4.3404169,5.0289693,3.8002853,3.0198987,4.281723
37261,"Bill Sullivan",4.8108187,5.074883,5.4680295,4.3349104,3.2785215
37511,"Admiral Jay Johnson",3.4959912,4.5784235,4.3070846,3.3813207,3.816442
37611,"David Mahoney",5.0939417,5.3694057,5.1777439,4.6354127,3.1826615
37641,"Warren Eisenberg",5.0794535,5.4470253,4.6505237,3.9060674,2.9046931
37751,"Raymond Plank",5.8263946,5.911005,5.9603667,2.4370584,3.1970453
37856,"Mike Wiley",3.9642863,4.9703331,4.7982664,3.9873099,3.5821176
38016,"Rich Kinder",3.9106946,4.8436332,3.5799131,3.2146177,4.4760418
38136,"Clarence Cazalot Jr",2.5697563,3.1586909,2.2030954,1,6.1211219
38256,"Doug Wall",4.0421596,4.9197736,3.9588027,3.6554699,4.5521593
38291,"Max Lukens",4.5060744,5.1193829,4.9499445,3.9625437,3.637043
38311,"Scott Farmer",4.6448555,4.7501736,5.2767687,4.2153344,3.413023
38546,"Kent Kresa",4.1417999,4.9493604,2.8369803,3.4934752,3.0844023
38676,"Lew Hay III",5.1385255,5.4470243,5.2679996,3.7132814,3.2263284
38686,"Doctor Ron Sugar",4.6823416,4.9497981,5.3849111,3.827369,3.3431156
38966,"Carol Meyrowitz",4.9283452,5.531806,4.9079542,4.3880329,2.8997283
38981,"Dave Brandon",4.9233985,5.5413666,4.755024,3.8999856,3.5205383
39031,"Jim Robo",4.0503154,4.9732685,5.2137294,3.4945076,3.1039925
39151,"Martin Mucci",5.0610719,5.3016419,5.2041774,4.5563254,3.2141943
39231,"John Allison IV",4.4605818,5.3747649,4.8598819,3.5290799,3.3963213
39271,"Kelly King",4.6296272,5.3336096,5.0270309,3.970736,3.3636506
39731,"Doctor Bob Keegan",4.0055437,5.0363173,5.5242252,3.5568836,3.1048484
39886,"Art Ryan",4.8811188,5.4092755,5.4417133,4.207335,3.2506704
39956,"John Strangfeld Jr",4.8098259,5.3758135,5.2613726,4.1315169,3.059269
39996,"Glenn Renwick",6.1127934,5.6167665,7,4.9650888,1.2710851
40146,"Dick Davidson",4.0690417,4.6002116,3.6700804,2.9292195,3.3966784
40191,"David Spina",5.3583255,5.0635786,5.1154742,4.8178048,3.4903328
40251,"Ron Logue",3.7823081,4.5812292,6.2014608,2.7919321,4.2434049
40336,"Jack Koraleski",4.2157321,5.0098672,5.0952358,3.8931532,3.9728494
40361,"Claiborne Deming",3.6417246,4.6693373,3.6083412,3.1767702,4.5764651
40671,"Doctor Dick Syron",4.6873479,5.4276114,5.4743686,3.3069532,3.3361812
40891,"Mike Polk",5.1074996,5.2721095,5.1595025,4.18118,3.0596783
40941,"Doctor Irene Rosenfeld",5.6676273,6.4572902,5.7632647,4.7027555,3.3492026
41076,"Bob Wayman",4.9097719,5.3893428,4.8162489,4.5686765,2.9867923
41301,"Fred Hassan",5.768496,6.47296,5.0788131,6.4371333,1.9576161
41376,"Gary Rodkin",4.9454513,6.0179677,6.0680828,4.9292226,2.4556534
41481,"Steve MacMillan",4.7405348,5.2152758,5.1359267,4.3726797,3.1906881
41606,"Lamberto Andreotti",5.4673371,5.6802497,5.003912,5.6720576,2.0941868
41806,"David Abney",4.9622512,5.3270063,5.1986279,4.0406437,3.8215232
42111,"Jerry Grinstein",4.1597652,5.3426318,5.5540109,4.0238624,3.1150026
42401,"Christina Gold",5.5119605,4.5738978,4.3450918,6.1164174,3.5433998
42696,"Charles Cotros",4.4552064,4.6174464,4.2089267,3.4564946,4.3542514
42861,"Greg Brown",5.1454387,5.3098226,5.8384533,4.5187159,2.3073952
43236,"Jack Remondi",4.5287924,5.3436408,4.8083572,3.2999418,3.0061069
43286,"John Faraci Jr",2.4598577,4.9357996,4.4740615,3.9192333,3.5592778
43291,"Rob Amen",4.9010983,5.4543476,4.9412274,4.2328534,3.4482601
43331,"Sam Gibara",3.9234295,4.8891463,4.1057343,3.7561135,3.4309654
43546,"Dara Khosrowshahi",5.0509467,5.1241775,4.5062017,4.2811208,3.3067451
43611,"Richard Smucker",4.8300853,5.5435472,5.1366172,4.2856164,3.219723
43666,"Captain Gary McCullough",4.7468853,5.4183874,5.1444287,4.1308208,2.9736593
43691,"Clarence Otis Jr",4.676939,5.6723151,4.6188498,3.7721319,3.3404996
44006,"Jim Rohr",4.695034,4.2958431,6.068284,2.9735818,3.3552499
44141,"Paul Pressler",4.8803444,6.1342635,4.6287088,4.5635238,2.5492377
44226,"Larry Prince",4.5112224,5.1121302,5.118927,4.0214744,3.4054146
44256,"Fred Poses",4.1950736,4.5938663,4.4869146,3.5305395,3.801662
44576,"William Demchak",4.3961387,5.4168787,4.9339323,3.9991336,3.4087956
44631,"Jim Wells III",5.5117645,5.8355713,5.5886703,4.0693603,3.35937
44846,"Sandy Cutler",5.2397575,5.7931399,5.8196034,4.7999983,2.5386524
44881,"Gary Kelly",4.5634599,5.1697621,4.5724778,3.7999561,3.5889966
44936,"Bill Sanford",3.5987492,4.9056401,4.5995235,3.0769086,3.5650067
45191,"Nick Chabraja",1.7795205,4.3633504,1,3.016274,5.8010302
45561,"Phebe Novakovic",3.9880106,4.5877509,4.2446799,3.3932233,3.9243598
45626,"Larry Merlo",5.4855895,5.7461495,5.7155499,4.9449682,3.1126931
45776,"Dick Schulze",4.0331645,5.796483,3.5989997,3.9566741,4.122232
46031,"Todd Nelson",4.8764491,5.3551965,4.9538474,4.3400407,3.1693664
46421,"Aylwin Lewis",3.7455316,3.6176903,3.6541376,3.8807168,1.6501284
46631,"David Dvorak",5.0142159,5.5482922,5.3589768,4.7523074,2.9049413
46701,"Bob Wilmers",4.0584569,5.0746841,5.1235757,4.5451221,2.5410948
47031,"Debbie Reed-Klages",3.858108,4.8559985,3.9341922,3.4221504,3.2802618
47096,"Wayne Smith",5.0398345,5.4459987,5.1209321,4.3869786,3.0691466
47651,"Dale Morrison",4.6219945,5.2163382,4.8465319,3.8822877,3.4927471
47676,"Larry Probst III",5.0579195,4.7372613,5.2305427,4.6493802,3.3877785
47746,"Alan Lacy",4.8026767,5.7256227,5.1955452,4.3914566,2.8775036
47756,"John Riccitiello",5.164113,5.0727878,5.3745999,4.7094221,2.9964328
47826,"Doug Conant",4.8713055,5.8712583,1.9585936,6.2114296,4.2156191
47996,"Bill Johnson",4.9025168,5.5345268,5.0844312,4.5064344,3.3705068
48441,"Vincent Forlenza",4.928113,5.3675146,5.4063973,4.8037982,3.1039321
48516,"Dave Dyer",5.0303984,5.6361103,5.0193157,4.783999,2.6127155
