,NAME,NATIONALITY_STATE_CODE,STATE_OF_RESIDENCE_CODE
313163,"LAMEIRE, Norbert",BE,BE
1740857,"CHILDRES, William, Scott",US,US
607586,"MERCIER-CALVAIRAC, Fabien",FR,FR
1184532,"ARZAMASOV, Evgenii Vladimirovich",RU,RU
1840256,"PARHAM, Garth",US,US
1130127,"PAIK, Euihyun",KR,KR
1372696,"YOUNG, Christopher, R.",US,US
362160,"WESELOH, Christopher, J.",US,US
1220591,"OLOFSSON, Niklas",SE,SE
87661,"HARDY, Cameron",CA,CA
959804,"ISHIZONO, Fumihiko",JP,JP
1609650,"DAWES, Steven B",US,US
1209868,"RYDIN, Anders",SE,SE
313085,"GRIN, Yuri",DE,DE
274229,"ROTHMANN, Harry",DE,DE
149102,"WANG, Aimin",CN,CN
897455,"NAGABUKURO, Hiroshi",JP,JP
592880,"GLEICH, Bernard",FR,FR
1364115,"LEE, Fook, Thean",MY,AU
996805,"KAJIKI, Shizuo",JP,JP
1518278,"DOMBEK, Gerald, M.",US,US
1376303,"WOOD, Kurt, Arthur",US,US
29679,"FLEMING, Don",AU,AU
1270384,"JENKINS, Robert, F.",US,US
1056604,"MATSUDA, Mioko",JP,JP
433782,"ERTL, Christof",AT,AT
1444696,"RESHESKI-WEDEPOHL, Kim, LaRae",US,US
1318144,"RIGGIN, Ralph, Meridith",US,US
595337,"PELOUS, Marc",FR,FR
1814903,"DONTAS, Kalliope",US,US
1700269,"GRUBBS, Christopher V.",US,US
1773526,"CHIN, Daniel V.",US,US
1804673,"RAJENDRAN, Gireesh",IN,IN
557015,"RICHARD, Jean-Pierre",FR,FR
209611,"THULKE, Stefanie",DE,DE
1621478,"LEE, Chu-chung",CN,US
765492,"MEIJER, Marcel",NL,NL
124971,"ZUO, Tiejun",CN,CN
227904,"KLIXBULL, Lotte, M.",DK,DK
1703679,"BIJAMOV, Alexander",GE,US
208869,"SCHAUER, Frieder",DE,DE
871963,"YOSHIMURA, Yasunori",JP,JP
657192,"BAUMBERG, Jeremy, John",GB,GB
86465,"CHATIGNY, StEphane",CA,CA
359115,"EICKES, Christian",DE,DE
1466238,"SHEPLER, Jennifer, M.",US,US
1387048,"TU, Yu, Ta",**,CN
1320798,"LEE, Won, Ha",KR,KR
132635,"WANG, Zengqiang",CN,CN
543127,"LEMIEUX, Berthier",CA,FI
544681,"BARTHOMEUF, Jean-Claude",FR,FR
55100,"HEXSEL, Doris",BR,BR
1677874,"LEVEN, Robert Maynard",US,US
942904,"SASAE, Keisuke",JP,JP
866875,"HOSHINO, Yoshio",JP,JP
142943,"LEE, Shuei Yuan",CN,CN
1101703,"YANG, Dae-Yoon",KR,KR
1557175,"STEWART, Michelle",US,US
96595,"HADZISELIMOVIC, Faruk",CH,CH
1155889,"DONGELMANS, Nicolaas, Johannes",NL,NL
1297732,"SONG, Jin-Young",KR,JP
1763026,"OWENS, Edward, P.",US,US
882688,"NINOMIYA, Nobutaka",JP,JP
1412719,"MILLER, Leasa, C.",US,US
1547854,"SHANKAR, Vivek",IN,US
1709104,"NAGY, Jeffrey, J.",US,US
1458876,"EMERY, Brian, James",US,US
321535,"LAURIDSEN, Keld",DK,DK
1477634,"BRILL, Michael, H.",US,US
343885,"SCHRAIVOGEL, JUrgen",DE,DE
1723675,"HARTNELL, Gary, F",US,US
1703230,"FISHER, Delmer, D.",US,US
934939,"MIZUTANI, Takashi",JP,JP
1711907,"SIMPSON, Andrew John, George",US,US
1100646,"AHN, Tae-bin",KR,KR
1162360,"MOORMANN, Robertus Jacobus Maria",NL,NL
1506245,"PARK, Sung, Sup",KR,KR
262089,"NICHOLS, Donald, John",GB,GB
966295,"NOGUCHI, Koudai",JP,JP
188602,"SAUER, Frank",DE,DE
1186667,"BOROVINSKAYA, Inna Petrovna",RU,RU
690268,"WARE, Andrew",GB,GB
634316,"REYNOLDS, Brenda, Elisabeth",GB,GB
656252,"CURTIS, Beverley",GB,GB
956012,"OHTA, Haruya",JP,JP
579193,"VACQUIE, Luc",FR,FR
1646908,"SAMSON, Jeffery T.",US,US
676191,"BECKER, Thomas",DE,NO
815581,"CHEGLAKOV, Zoya",IL,IL
1163098,"SchroEn, Catharina Gerarda Petronella Henrica",NL,NL
224678,"FOLKENBERG, Jacob, Riis",DK,DK
369539,"WHITEMAN, Jonathon, Paul",GB,GB
1093529,"HWANG, Yu, Kyung",KR,KR
1528475,"HIRSCH, Mark",US,JP
238164,"THIRY, Michel",BE,BE
1016076,"IHARA, Hiroyasu",JP,JP
912674,"SUGISAWA, Keiichi",JP,JP
1397791,"FERBER, Iris, A.",DE,US
879942,"SHINOMURA, Ryuichi",JP,JP
925009,"NISHIHARA, Yoshio",JP,JP
