,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile
69,IN,H05K,0.0,0.0,0.0,0.0,0.021276691663326974,0.0,0.0,0.0,0.0,0.021276691663326974,1,11,1
70,IN,F02D,0.0,0.0,0.0,0.0,0.07692354603629026,0.0,0.0,0.0,0.0,0.07692354603629026,1,5,3
71,IN,B60R,0.0,0.0,0.0,0.0,0.03571428571429327,0.0,0.0,0.0,0.0,0.03571428571429327,1,8,2
72,IN,G06F,1.7073170731707317,0.0014756413769842108,0.00243317981791016,1.3262771047764044e-05,0.0006990355686249057,1.5365853658536586,0.0013280772392857897,0.00220653247812545,1.1712269785085218e-05,0.000644125733906698,82,1158,1
73,IN,H02M,0.0,0.0,0.0,0.0,0.01052631662354389,0.0,0.0,0.0,0.0,0.01052631662354389,1,23,2
74,IN,C11D,0.0,0.0,0.0,0.0,0.022727685998001654,0.0,0.0,0.0,0.0,0.022727685998001654,1,12,7
75,IN,F16D,0.0,0.0,0.0,0.0,0.08333378072575998,0.0,0.0,0.0,0.0,0.08333378072575998,1,4,7
76,IN,G09G,0.0,0.0,0.0,0.0,0.03846202712113569,0.0,0.0,0.0,0.0,0.03846202712113569,1,10,3
77,IN,A01N,0.0,0.0,0.0,0.0,0.004587155963302752,0.0,0.0,0.0,0.0,0.004587155963302752,1,46,2
78,IN,B01D,0.0,0.0,0.0,0.0,0.010638297905618184,0.0,0.0,0.0,0.0,0.010638297905618184,1,26,1
79,IN,B21D,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,4
80,IN,B65D,0.0,0.0,0.0,0.0,0.06250047999999998,0.0,0.0,0.0,0.0,0.06250047999999998,1,4,2
81,IN,H04B,0.0,0.0,0.0,0.0,0.00478468899521531,0.0,0.0,0.0,0.0,0.00478468899521531,3,53,1
82,IN,B29C,0.0,0.0,0.0,0.0,0.008547008547575152,0.0,0.0,0.0,0.0,0.008547008547575152,1,25,9
83,IN,E21B,0.0,0.0,0.0,0.0,0.05263253710945587,0.0,0.0,0.0,0.0,0.05263253710945587,1,11,1
84,IN,H03L,0.0,0.0,0.0,0.0,0.011904864165887999,0.0,0.0,0.0,0.0,0.011904864165887999,1,20,3
85,IN,H05B,0.0,0.0,0.0,0.0,0.013888937499999997,0.0,0.0,0.0,0.0,0.013888937499999997,1,16,10
86,IN,B60W,0.0,0.0,0.0,0.0,0.047619456663551996,0.0,0.0,0.0,0.0,0.047619456663551996,1,5,1
87,IN,G11B,0.0,0.0,0.0,0.0,0.03846202712113569,0.0,0.0,0.0,0.0,0.03846202712113569,2,10,1
88,IN,B81B,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,4
89,IN,F15B,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,2
90,IN,F16H,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,4,2
91,IN,C04B,1.0,0.06666666666666667,0.06666666666666667,0.0,0.065789453125,1.0,0.06666666666666667,0.06666666666666667,0.0,0.065789453125,1,16,6
92,IN,F04C,0.0,0.0,0.0,0.0,0.09090953173120175,0.0,0.0,0.0,0.0,0.09090953173120175,1,3,2
93,IN,G05F,0.0,0.0,0.0,0.0,0.017543859649122803,0.0,0.0,0.0,0.0,0.017543859649122803,1,17,1
94,IN,C07H,0.0,0.0,0.0,0.0,0.006250000500102614,0.0,0.0,0.0,0.0,0.006250000500102614,1,36,1
95,IN,G01N,0.0,0.0,0.0,0.0,0.0035087811219732964,0.0,0.0,0.0,0.0,0.0035087811219732964,3,69,1
96,IN,C09K,0.0,0.0,0.0,0.0,0.007092418395124326,0.0,0.0,0.0,0.0,0.007092418395124326,1,33,1
97,IN,H03F,0.0,0.0,0.0,0.0,0.013698630136986457,0.0,0.0,0.0,0.0,0.013698630136986457,1,17,3
98,IN,A61K,2.0,0.008298755186721992,0.008298755186721992,0.0002247579529737206,0.004617900628892496,1.6666666666666667,0.006915629322268326,0.006915629322268326,0.0002247579529737206,0.0034018097468806285,6,242,1
99,IN,B05B,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
100,IN,C12P,4.0,0.08333333333333333,0.08333333333333333,0.0,0.021097045630358923,4.0,0.08333333333333333,0.08333333333333333,0.0,0.021097045630358923,1,49,7
101,IN,H01P,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
102,IN,G01V,0.0,0.0,0.0,0.0,0.08333378072575998,0.0,0.0,0.0,0.0,0.08333378072575998,1,4,1
103,IN,F02N,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1
104,IN,F25D,0.0,0.0,0.0,0.0,0.021276691663326974,0.0,0.0,0.0,0.0,0.021276691663326974,1,11,2
