,country,technology,partner_count_avg,deg_centrality_avg,close_centrality_avg,bet_centrality_avg,page_rank_avg,local_partner_count_avg,local_deg_centrality_avg,local_close_centrality_avg,local_bet_centrality_avg,local_page_rank_avg,GMI_count,count,decile,decile_1stGMI_Sara
126,IN,H03M,1.0,0.0303030303030303,0.0303030303030303,0.0,0.0373134328352106,1.0,0.0303030303030303,0.0303030303030303,0.0,0.0373134328352106,1,34,1,1.0
127,IN,F01N,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,1,4,6,6.0
128,FI,G10L,0.0,0.0,0.0,0.0,0.0101010101917236,0.0,0.0,0.0,0.0,0.0101010101917236,1,23,10,10.0
129,FI,D21H,1.0,0.0178571428571428,0.0178571428571428,0.0,0.0194552529182863,1.0,0.0178571428571428,0.0178571428571428,0.0,0.0194552529182863,1,57,6,6.0
130,FI,B01L,0.0,0.0,0.0,0.0,0.0188679245284075,0.0,0.0,0.0,0.0,0.0188679245284075,1,13,10,10.0
131,FI,B32B,0.0,0.0,0.0,0.0,0.0100001131210943,0.0,0.0,0.0,0.0,0.0100001131210943,1,24,9,9.0
132,FI,H04B,1.0,0.0108695652173913,0.0108695652173913,0.0,0.0136986301369863,1.0,0.0108695652173913,0.0108695652173913,0.0,0.0136986301369863,1,93,2,2.0
133,FI,D21C,0.0,0.0,0.0,0.0,0.004524886877828,0.0,0.0,0.0,0.0,0.004524886877828,1,49,6,6.0
134,FI,F16F,0.0,0.0,0.0,0.0,0.0322583109515835,0.0,0.0,0.0,0.0,0.0322583109515835,1,7,9,9.0
135,FI,D04H,1.0,0.3333333333333333,0.3333333333333333,0.0,0.4166662192742399,1.0,0.3333333333333333,0.3333333333333333,0.0,0.4166662192742399,1,4,10,10.0
136,FI,G06T,1.0,0.0285714285714285,0.0285714285714285,0.0,0.032051282051282,1.0,0.0285714285714285,0.0285714285714285,0.0,0.032051282051282,1,36,9,9.0
137,FI,F02D,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2,2,9,9.0
138,FI,F16D,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1,2,7,7.0
139,FI,H05K,4.0,0.1333333333333333,0.1333333333333333,0.0,0.0359712230215827,4.0,0.1333333333333333,0.1333333333333333,0.0,0.0359712230215827,1,31,8,8.0
140,FI,H04M,7.0,0.056,0.056,0.0,0.0093632958705189,7.0,0.056,0.056,0.0,0.0093632958705189,1,126,4,4.0
