pair,fiveyear,totGMIs,rank
"FK-FR","1991-95",1,396
"FK-FR","2006-10",1,536
"FR-AE","1996-00",1,425
"FR-AE","2001-05",1,508
"FR-AE","2006-10",2,414
"FR-AE","2011-15",3,431
"FR-AM","2006-10",1,574
"FR-AR","1996-00",2,292
"FR-AR","2001-05",2,377
"FR-AR","2006-10",7,256
"FR-AR","2011-15",3,462
"FR-AT","1986-90",2,186
"FR-AT","1991-95",2,264
"FR-AT","1996-00",8,172
"FR-AT","2001-05",9,193
"FR-AT","2006-10",7,250
"FR-AT","2011-15",8,287
"FR-AU","1986-90",11,64
"FR-AU","1991-95",12,86
"FR-AU","1996-00",20,93
"FR-AU","2001-05",42,82
"FR-AU","2006-10",30,123
"FR-AU","2011-15",31,134
"FR-BE","1986-90",44,25
"FR-BE","1991-95",80,24
"FR-BE","1996-00",111,36
"FR-BE","2001-05",125,44
"FR-BE","2006-10",144,52
"FR-BE","2011-15",124,63
"FR-BG","2001-05",2,432
"FR-BG","2006-10",2,485
"FR-BR","1986-90",3,131
"FR-BR","1991-95",1,300
"FR-BR","1996-00",5,219
"FR-BR","2001-05",9,192
"FR-BR","2006-10",12,195
"FR-BR","2011-15",11,251
"FR-BS","2006-10",1,625
"FR-CA","1986-90",105,13
"FR-CA","1991-95",134,16
"FR-CA","1996-00",337,15
"FR-CA","2001-05",321,22
"FR-CA","2006-10",361,26
"FR-CA","2011-15",326,32
"FR-CH","1986-90",71,18
"FR-CH","1991-95",88,21
"FR-CH","1996-00",181,24
"FR-CH","2001-05",197,30
"FR-CH","2006-10",282,29
"FR-CH","2011-15",293,38
"FR-CL","2001-05",1,513
"FR-CN","1991-95",6,125
"FR-CN","1996-00",8,178
"FR-CN","2001-05",31,96
"FR-CN","2006-10",61,82
"FR-CN","2011-15",99,74
"FR-CU","1986-90",2,158
"FR-CZ","1986-90",3,140
"FR-CZ","1991-95",1,367
"FR-CZ","2011-15",3,469
"FR-DE","1986-90",70,19
"FR-DE","1991-95",112,18
"FR-DE","1996-00",201,20
"FR-DE","2001-05",268,24
"FR-DE","2006-10",327,27
"FR-DE","2011-15",296,37
"FR-DK","1986-90",1,281
"FR-DK","1991-95",4,161
"FR-DK","1996-00",7,188
"FR-DK","2001-05",13,155
"FR-DK","2006-10",16,168
"FR-DK","2011-15",15,218
"FR-EE","2006-10",1,616
"FR-EG","2011-15",1,621
"FR-ES","1986-90",6,90
"FR-ES","1991-95",11,90
"FR-ES","1996-00",39,66
"FR-ES","2001-05",28,103
"FR-ES","2006-10",36,113
"FR-ES","2011-15",35,124
"FR-FI","1986-90",1,215
"FR-FI","1991-95",2,222
"FR-FI","1996-00",8,185
"FR-FI","2001-05",8,201
"FR-FI","2006-10",8,247
"FR-FI","2011-15",12,238
"FR-FR","1986-90",0,324
"FR-FR","1991-95",0,411
"FR-FR","1996-00",0,573
"FR-FR","2001-05",0,672
"FR-FR","2006-10",0,765
"FR-FR","2011-15",0,851
"GA-US","1986-90",3,148
"GA-US","1991-95",3,193
"GA-US","2011-15",2,582
"GB-AE","1996-00",3,280
"GB-AE","2001-05",1,589
"GB-AE","2006-10",2,424
"GB-AE","2011-15",7,329
"GB-AR","1991-95",1,331
"GB-AR","1996-00",7,195
"GB-AR","2001-05",2,401
"GB-AR","2011-15",1,618
"GB-AT","1986-90",1,306
"GB-AT","1991-95",2,227
"GB-AT","1996-00",9,162
"GB-AT","2001-05",7,215
"GB-AT","2006-10",10,220
"GB-AT","2011-15",25,154
"GB-AU","1986-90",66,20
"GB-AU","1991-95",68,27
"GB-AU","1996-00",158,26
"GB-AU","2001-05",181,33
"GB-AU","2006-10",209,39
"GB-AU","2011-15",241,41
"GB-BE","1986-90",15,52
"GB-BE","1991-95",23,59
"GB-BE","1996-00",48,57
"GB-BE","2001-05",55,67
"GB-BE","2006-10",39,105
"GB-BE","2011-15",29,142
"GB-BG","2006-10",3,379
"GB-BG","2011-15",3,432
"GB-BR","1986-90",1,298
"GB-BR","1996-00",3,272
"GB-BR","2001-05",1,435
"GB-BR","2006-10",3,404
"GB-BR","2011-15",8,299
"GB-BS","1996-00",2,296
"GB-BS","2011-15",1,628
"GB-CA","1986-90",113,12
"GB-CA","1991-95",137,15
"GB-CA","1996-00",287,16
"GB-CA","2001-05",356,19
"GB-CA","2006-10",374,25
"GB-CA","2011-15",420,28
"GB-CH","1986-90",22,42
"GB-CH","1991-95",25,53
"GB-CH","1996-00",56,53
"GB-CH","2001-05",83,55
"GB-CH","2006-10",100,60
"GB-CH","2011-15",124,62
"GB-CL","2006-10",1,679
"GB-CM","1996-00",2,337
"GB-CN","1991-95",4,159
"GB-CN","1996-00",10,157
"GB-CN","2001-05",49,75
"GB-CN","2006-10",202,41
"GB-CN","2011-15",314,33
"GB-CY","1996-00",2,286
